Car_ID,Service_Type,Service_Date,Service_Cost,Service_Center
C11606,Full Service,2020-05-30,15948,Speed Garage
C11607,Battery Replacement,2020-10-21,16432,Pitstop
C11608,Full Service,2020-01-25,4896,Speed Garage
C11609,Brake Service,2020-03-16,10800,Speed Garage
C11610,Engine Repair,2022-10-26,2229,Pitstop
C11611,Engine Repair,2020-07-14,2149,CarZ
C11612,Full Service,2023-11-11,18130,Speed Garage
C11613,Battery Replacement,2020-02-02,5149,CarZ
C11614,Battery Replacement,2022-12-25,19637,Speed Garage
C11615,Oil Change,2022-01-27,9753,CarZ
C11616,Engine Repair,2023-04-18,4292,Pitstop
C11617,Oil Change,2021-08-20,15436,AutoCare
C11618,Brake Service,2020-05-24,19307,AutoCare
C11619,Tyre Change,2022-03-15,12222,Mechanix
C11620,Engine Repair,2022-02-18,3686,FastFix
C11621,Tyre Change,2023-12-05,13773,AutoCare
C11622,Brake Service,2020-10-24,6653,CarZ
C11623,Engine Repair,2021-09-13,14675,Pitstop
C11624,Battery Replacement,2022-02-05,16911,AutoCare
C11625,Tyre Change,2020-12-11,7532,Mechanix
C11626,Brake Service,2023-02-09,9814,Pitstop
C11627,Brake Service,2022-11-14,10006,Speed Garage
C11628,Oil Change,2023-12-08,15032,CarZ
C11629,Oil Change,2023-12-15,12189,AutoCare
C11630,Oil Change,2020-10-02,15355,CarZ
C11631,Tyre Change,2020-09-29,16230,CarZ
C11632,Oil Change,2020-07-30,16277,Pitstop
C11633,Oil Change,2020-03-22,3921,Pitstop
C11634,Engine Repair,2022-12-06,12560,FastFix
C11635,Full Service,2020-01-29,16656,CarZ
C11636,Full Service,2022-06-18,9934,Pitstop
C11637,Brake Service,2023-10-28,5210,Speed Garage
C11638,Tyre Change,2021-07-18,2297,Mechanix
C11639,Full Service,2023-05-26,12281,AutoCare
C11640,Brake Service,2022-10-12,8233,Mechanix
C11641,Full Service,2023-04-10,2691,CarZ
C11642,Oil Change,2021-09-14,12415,Pitstop
C11643,Tyre Change,2021-05-20,10275,FastFix
C11644,Full Service,2022-05-18,4977,CarZ
C11645,Battery Replacement,2023-02-11,3522,AutoCare
C11646,Battery Replacement,2021-04-26,14665,Speed Garage
C11647,Oil Change,2021-10-26,4497,FastFix
C11648,Engine Repair,2023-05-24,2853,Mechanix
C11649,Brake Service,2023-01-27,11340,Mechanix
C11650,Oil Change,2022-12-07,13910,FastFix
C11651,Oil Change,2021-03-20,3765,AutoCare
C11652,Oil Change,2022-04-02,6804,Mechanix
C11653,Tyre Change,2023-06-20,12805,FastFix
C11654,Brake Service,2021-10-01,4498,CarZ
C11655,Full Service,2020-09-23,18558,CarZ
C11656,Full Service,2021-10-05,7107,AutoCare
C11657,Engine Repair,2023-03-10,4009,Mechanix
C11658,Engine Repair,2021-07-27,9015,CarZ
C11659,Engine Repair,2021-01-23,12072,Pitstop
C11660,Full Service,2021-01-20,15037,FastFix
C11661,Battery Replacement,2020-07-13,3101,Speed Garage
C11662,Full Service,2021-07-29,10670,Mechanix
C11663,Brake Service,2022-02-12,18020,Speed Garage
C11664,Battery Replacement,2021-09-01,3230,FastFix
C11665,Brake Service,2023-12-07,18142,AutoCare
C11666,Tyre Change,2022-05-30,6076,FastFix
C11667,Tyre Change,2022-11-03,9973,CarZ
C11668,Full Service,2023-10-21,5955,Speed Garage
C11669,Oil Change,2020-01-03,12533,Speed Garage
C11670,Brake Service,2022-10-17,18095,AutoCare
C11671,Full Service,2023-08-27,13174,CarZ
C11672,Brake Service,2023-04-11,14180,Mechanix
C11673,Brake Service,2022-05-18,6665,Pitstop
C11674,Engine Repair,2021-12-16,14379,Mechanix
C11675,Oil Change,2022-10-28,11473,CarZ
C11676,Battery Replacement,2022-11-13,4000,Speed Garage
C11677,Battery Replacement,2020-03-20,2464,Mechanix
C11678,Battery Replacement,2022-03-08,17654,CarZ
C11679,Full Service,2023-06-15,12187,AutoCare
C11680,Tyre Change,2021-04-08,6347,Mechanix
C11681,Brake Service,2021-08-09,16583,Pitstop
C11682,Oil Change,2020-06-05,8716,Mechanix
C11683,Full Service,2020-03-23,9727,CarZ
C11684,Engine Repair,2022-07-30,8729,Speed Garage
C11685,Full Service,2022-03-01,8178,FastFix
C11686,Battery Replacement,2021-09-22,16962,FastFix
C11687,Oil Change,2020-12-30,2264,Speed Garage
C11688,Tyre Change,2023-07-24,13142,AutoCare
C11689,Engine Repair,2021-08-25,9772,CarZ
C11690,Tyre Change,2021-12-13,17628,FastFix
C11691,Engine Repair,2023-04-21,15089,AutoCare
C11692,Engine Repair,2020-07-17,17356,Speed Garage
C11693,Battery Replacement,2021-04-07,4739,Speed Garage
C11694,Oil Change,2021-06-15,8566,FastFix
C11695,Brake Service,2020-05-04,3801,Speed Garage
C11696,Engine Repair,2023-09-24,16408,Pitstop
C11697,Battery Replacement,2023-07-26,17519,FastFix
C11698,Battery Replacement,2023-07-11,3624,AutoCare
C11699,Battery Replacement,2022-08-01,6420,Speed Garage
C11700,Oil Change,2022-12-07,15158,Speed Garage
C11701,Brake Service,2020-01-02,5503,Pitstop
C11702,Oil Change,2022-07-28,19773,Pitstop
C11703,Tyre Change,2023-08-01,16253,AutoCare
C11704,Full Service,2022-08-01,18625,Pitstop
C11705,Battery Replacement,2021-08-03,12202,CarZ
C11706,Full Service,2023-09-24,12631,FastFix
C11707,Battery Replacement,2021-01-16,7324,FastFix
C11708,Battery Replacement,2022-11-29,6107,CarZ
C11709,Engine Repair,2023-12-24,4847,Pitstop
C11710,Full Service,2022-08-05,14162,Pitstop
C11711,Full Service,2023-06-22,12601,CarZ
C11712,Oil Change,2020-12-15,10134,Pitstop
C11713,Full Service,2023-05-16,4243,AutoCare
C11714,Battery Replacement,2021-08-29,11523,CarZ
C11715,Brake Service,2023-07-13,14785,FastFix
C11716,Full Service,2022-01-08,10614,AutoCare
C11717,Engine Repair,2020-04-04,9751,Mechanix
C11718,Battery Replacement,2023-05-07,4563,Pitstop
C11719,Tyre Change,2022-01-15,17943,CarZ
C11720,Brake Service,2021-07-10,11572,Pitstop
C11721,Tyre Change,2020-12-11,2233,Speed Garage
C11722,Battery Replacement,2023-06-16,6297,Pitstop
C11723,Full Service,2020-11-30,10424,Pitstop
C11724,Tyre Change,2020-05-21,3542,Pitstop
C11725,Full Service,2021-06-12,10745,AutoCare
C11726,Full Service,2023-08-28,12163,FastFix
C11727,Battery Replacement,2020-07-29,14469,CarZ
C11728,Full Service,2022-02-03,7419,AutoCare
C11729,Engine Repair,2023-06-27,9333,FastFix
C11730,Tyre Change,2022-05-06,3116,Mechanix
C11731,Battery Replacement,2022-02-10,18193,AutoCare
C11732,Tyre Change,2022-06-16,4610,CarZ
C11733,Engine Repair,2020-12-29,5884,Mechanix
C11734,Brake Service,2023-02-04,10678,AutoCare
C11735,Tyre Change,2022-07-29,19682,CarZ
C11736,Full Service,2022-09-25,18956,FastFix
C11737,Full Service,2023-07-11,19503,Mechanix
C11738,Battery Replacement,2020-12-18,3092,Speed Garage
C11739,Battery Replacement,2023-01-03,4818,Pitstop
C11740,Battery Replacement,2023-12-15,5007,FastFix
C11741,Brake Service,2022-10-07,12900,Speed Garage
C11742,Engine Repair,2023-05-18,19273,Speed Garage
C11743,Full Service,2021-05-04,3369,Speed Garage
C11744,Oil Change,2021-08-17,9663,AutoCare
C11745,Oil Change,2021-06-08,11247,AutoCare
C11746,Oil Change,2020-01-17,18801,CarZ
C11747,Engine Repair,2022-12-15,19378,Mechanix
C11748,Engine Repair,2020-11-24,5960,FastFix
C11749,Tyre Change,2023-04-20,2437,Pitstop
C11750,Engine Repair,2021-07-16,6630,FastFix
C11751,Full Service,2020-08-28,11360,Pitstop
C11752,Tyre Change,2021-01-15,15198,Speed Garage
C11753,Battery Replacement,2022-10-29,3831,Speed Garage
C11754,Brake Service,2023-08-15,5796,CarZ
C11755,Full Service,2021-02-17,5158,Speed Garage
C11756,Battery Replacement,2023-09-01,5040,CarZ
C11757,Tyre Change,2021-12-02,18285,Mechanix
C11758,Full Service,2020-05-30,10783,AutoCare
C11759,Full Service,2021-12-12,10612,Speed Garage
C11760,Full Service,2023-06-21,12723,CarZ
C11761,Engine Repair,2023-10-05,12796,FastFix
C11762,Tyre Change,2023-03-31,3195,Speed Garage
C11763,Full Service,2022-04-05,9328,Speed Garage
C11764,Battery Replacement,2023-03-14,5204,Pitstop
C11765,Tyre Change,2022-03-13,19293,AutoCare
C11766,Oil Change,2021-04-26,12252,FastFix
C11767,Full Service,2021-08-15,4669,FastFix
C11768,Brake Service,2020-03-24,16257,AutoCare
C11769,Battery Replacement,2022-07-15,14329,Mechanix
C11770,Full Service,2020-12-19,13654,CarZ
C11771,Battery Replacement,2023-06-29,4336,Pitstop
C11772,Battery Replacement,2022-07-01,2753,CarZ
C11773,Full Service,2020-06-18,16832,Pitstop
C11774,Engine Repair,2020-01-03,2283,Pitstop
C11775,Engine Repair,2020-11-01,17352,Pitstop
C11776,Oil Change,2020-12-30,13799,FastFix
C11777,Engine Repair,2023-06-17,17799,FastFix
C11778,Tyre Change,2022-10-02,9776,Pitstop
C11779,Tyre Change,2021-04-15,14485,AutoCare
C11780,Tyre Change,2021-03-14,8704,CarZ
C11781,Brake Service,2020-10-26,14170,Pitstop
C11782,Oil Change,2021-01-22,14151,Speed Garage
C11783,Oil Change,2023-05-05,5347,Pitstop
C11784,Battery Replacement,2023-08-01,17874,FastFix
C11785,Battery Replacement,2020-06-10,2786,AutoCare
C11786,Battery Replacement,2023-05-30,15929,Pitstop
C11787,Battery Replacement,2022-04-30,4259,FastFix
C11788,Full Service,2023-08-28,19472,CarZ
C11789,Brake Service,2022-03-08,7231,AutoCare
C11790,Brake Service,2021-04-07,8438,CarZ
C11791,Battery Replacement,2023-04-01,10933,CarZ
C11792,Full Service,2020-02-08,6057,CarZ
C11793,Tyre Change,2021-01-02,4295,Pitstop
C11794,Full Service,2020-11-22,14430,FastFix
C11795,Engine Repair,2023-04-01,17662,AutoCare
C11796,Engine Repair,2023-05-14,9057,CarZ
C11797,Oil Change,2022-09-21,4020,Speed Garage
C11798,Oil Change,2021-04-19,14235,Pitstop
C11799,Brake Service,2020-06-23,17239,CarZ
C11800,Brake Service,2023-06-08,14338,FastFix
C11801,Engine Repair,2020-11-18,16726,FastFix
C11802,Full Service,2022-12-16,5448,FastFix
C11803,Full Service,2023-03-23,6267,Pitstop
C11804,Full Service,2021-03-18,2640,Pitstop
C11805,Oil Change,2022-04-26,4060,AutoCare
C11806,Battery Replacement,2020-04-25,6901,AutoCare
C11807,Tyre Change,2020-09-02,6323,AutoCare
C11808,Brake Service,2020-02-11,6456,Speed Garage
C11809,Engine Repair,2020-09-28,2385,FastFix
C11810,Brake Service,2022-07-17,12613,AutoCare
C11811,Battery Replacement,2022-11-20,5502,Mechanix
C11812,Full Service,2022-09-28,5466,Pitstop
C11813,Oil Change,2021-03-28,17231,Pitstop
C11814,Full Service,2020-04-11,14116,AutoCare
C11815,Engine Repair,2023-07-03,9754,FastFix
C11816,Engine Repair,2022-04-29,8687,Speed Garage
C11817,Tyre Change,2021-08-11,19332,Pitstop
C11818,Battery Replacement,2022-07-30,19763,CarZ
C11819,Oil Change,2022-12-04,16509,FastFix
C11820,Brake Service,2020-06-26,19425,Pitstop
C11821,Tyre Change,2021-07-11,4090,FastFix
C11822,Tyre Change,2022-05-17,18175,FastFix
C11823,Tyre Change,2021-03-25,13374,CarZ
C11824,Full Service,2023-01-05,11466,CarZ
C11825,Oil Change,2022-10-02,9414,FastFix
C11826,Full Service,2020-12-29,10765,Speed Garage
C11827,Brake Service,2023-11-23,9365,CarZ
C11828,Full Service,2020-09-26,12500,Mechanix
C11829,Full Service,2023-08-27,15665,Pitstop
C11830,Engine Repair,2023-04-17,18870,Speed Garage
C11831,Oil Change,2022-04-11,10163,CarZ
C11832,Battery Replacement,2023-07-27,11663,AutoCare
C11833,Battery Replacement,2021-03-03,4306,CarZ
C11834,Brake Service,2023-03-25,12065,Mechanix
C11835,Brake Service,2022-08-29,15675,AutoCare
C11836,Brake Service,2023-03-25,16450,Speed Garage
C11837,Battery Replacement,2023-12-05,12676,CarZ
C11838,Oil Change,2021-02-28,19136,Pitstop
C11839,Battery Replacement,2020-12-04,6114,Mechanix
C11840,Engine Repair,2021-11-11,16630,FastFix
C11841,Full Service,2021-01-13,6155,Speed Garage
C11842,Brake Service,2021-02-11,2433,Speed Garage
C11843,Brake Service,2021-04-12,15099,FastFix
C11844,Battery Replacement,2021-08-19,16509,Pitstop
C11845,Oil Change,2020-09-07,14456,CarZ
C11846,Engine Repair,2020-08-29,17010,Speed Garage
C11847,Tyre Change,2022-05-14,3772,AutoCare
C11848,Brake Service,2020-09-21,14543,Pitstop
C11849,Battery Replacement,2021-06-30,6027,Pitstop
C11850,Battery Replacement,2021-12-10,8220,AutoCare
C11851,Oil Change,2022-05-29,19209,FastFix
C11852,Oil Change,2020-09-06,10664,Mechanix
C11853,Battery Replacement,2022-03-10,16768,FastFix
C11854,Brake Service,2020-08-15,10181,Mechanix
C11855,Full Service,2023-11-03,16911,Pitstop
C11856,Oil Change,2022-10-17,19019,AutoCare
C11857,Tyre Change,2020-08-24,7976,CarZ
C11858,Brake Service,2023-07-26,7234,Pitstop
C11859,Engine Repair,2020-08-06,17095,Pitstop
C11860,Battery Replacement,2022-03-06,7126,AutoCare
C11861,Tyre Change,2022-11-16,19331,Mechanix
C11862,Battery Replacement,2023-06-16,9670,AutoCare
C11863,Full Service,2022-04-10,12184,Pitstop
C11864,Battery Replacement,2023-02-21,18147,FastFix
C11865,Brake Service,2022-11-19,13326,AutoCare
C11866,Oil Change,2021-01-01,7073,Pitstop
C11867,Oil Change,2023-11-01,10658,AutoCare
C11868,Engine Repair,2022-10-18,4954,Mechanix
C11869,Battery Replacement,2021-12-01,9222,Mechanix
C11870,Engine Repair,2022-01-14,15316,AutoCare
C11871,Tyre Change,2022-03-18,14307,Mechanix
C11872,Battery Replacement,2021-07-29,17290,Mechanix
C11873,Brake Service,2021-02-18,12389,Speed Garage
C11874,Full Service,2020-02-27,14383,FastFix
C11875,Full Service,2023-08-07,18833,Speed Garage
C11876,Brake Service,2021-09-22,12291,CarZ
C11877,Tyre Change,2020-03-22,8705,AutoCare
C11878,Engine Repair,2020-08-06,17783,FastFix
C11879,Full Service,2021-07-24,4649,CarZ
C11880,Tyre Change,2022-04-29,14892,Speed Garage
C11881,Tyre Change,2021-12-26,15632,Pitstop
C11882,Engine Repair,2022-03-21,14650,Speed Garage
C11883,Oil Change,2021-01-18,6548,Pitstop
C11884,Battery Replacement,2022-05-22,10252,Speed Garage
C11885,Tyre Change,2021-05-12,19946,Pitstop
C11886,Engine Repair,2020-12-24,13538,Mechanix
C11887,Battery Replacement,2022-07-30,17408,FastFix
C11888,Brake Service,2020-12-11,16083,Mechanix
C11889,Engine Repair,2021-11-11,6639,FastFix
C11890,Brake Service,2022-12-01,14208,FastFix
C11891,Battery Replacement,2020-10-02,12857,Mechanix
C11892,Battery Replacement,2023-02-28,16200,CarZ
C11893,Tyre Change,2021-12-17,3377,Pitstop
C11894,Brake Service,2021-09-28,8447,Pitstop
C11895,Full Service,2022-10-16,16578,CarZ
C11896,Tyre Change,2023-01-09,3266,CarZ
C11897,Brake Service,2021-07-15,2709,Mechanix
C11898,Oil Change,2020-11-15,10880,Pitstop
C11899,Engine Repair,2023-08-31,2069,AutoCare
C11900,Full Service,2021-10-23,12006,AutoCare
C11901,Full Service,2023-03-14,3753,Speed Garage
C11902,Oil Change,2021-09-01,17456,Pitstop
C11903,Engine Repair,2020-10-30,10839,FastFix
C11904,Full Service,2021-07-06,11610,Pitstop
C11905,Full Service,2021-06-10,15697,FastFix
C11906,Battery Replacement,2020-05-02,19649,AutoCare
C11907,Battery Replacement,2020-08-07,11297,Mechanix
C11908,Brake Service,2020-08-31,10617,CarZ
C11909,Oil Change,2022-11-24,7208,FastFix
C11910,Battery Replacement,2020-02-04,2824,Speed Garage
C11911,Tyre Change,2020-10-03,9319,Pitstop
C11912,Oil Change,2022-03-25,7159,CarZ
C11913,Engine Repair,2020-12-18,16665,FastFix
C11914,Battery Replacement,2021-11-15,9216,Pitstop
C11915,Battery Replacement,2020-01-27,18325,FastFix
C11916,Brake Service,2021-03-23,6955,Mechanix
C11917,Engine Repair,2022-03-01,9087,Pitstop
C11918,Oil Change,2020-09-26,11099,Pitstop
C11919,Brake Service,2023-02-21,6151,Mechanix
C11920,Full Service,2023-05-25,6458,Pitstop
C11921,Full Service,2021-09-08,19877,FastFix
C11922,Battery Replacement,2023-01-31,19436,Pitstop
C11923,Brake Service,2023-12-04,18106,Speed Garage
C11924,Oil Change,2020-11-27,8193,Speed Garage
C11925,Battery Replacement,2020-07-13,18809,Speed Garage
C11926,Full Service,2022-11-23,7826,FastFix
C11927,Full Service,2021-10-26,13689,Mechanix
C11928,Brake Service,2023-08-02,4450,Pitstop
C11929,Tyre Change,2021-08-09,8731,FastFix
C11930,Engine Repair,2021-06-27,11937,Pitstop
C11931,Oil Change,2022-06-29,7269,Mechanix
C11932,Oil Change,2022-06-23,19441,Mechanix
C11933,Brake Service,2021-11-14,9500,AutoCare
C11934,Tyre Change,2021-09-30,17419,CarZ
C11935,Engine Repair,2023-07-10,9869,Speed Garage
C11936,Full Service,2023-07-02,17270,FastFix
C11937,Oil Change,2023-09-16,6973,FastFix
C11938,Brake Service,2020-11-18,14343,AutoCare
C11939,Full Service,2021-07-02,3696,FastFix
C11940,Tyre Change,2023-12-10,9258,Speed Garage
C11941,Tyre Change,2021-07-31,10372,CarZ
C11942,Engine Repair,2020-09-16,19718,CarZ
C11943,Tyre Change,2020-10-22,11195,Mechanix
C11944,Engine Repair,2022-07-21,4060,CarZ
C11945,Brake Service,2020-10-03,13927,AutoCare
C11946,Full Service,2023-07-23,19414,CarZ
C11947,Engine Repair,2023-05-08,8071,FastFix
C11948,Tyre Change,2020-01-04,3938,Speed Garage
C11949,Oil Change,2021-09-26,18451,CarZ
C11950,Engine Repair,2020-08-08,13841,FastFix
C11951,Tyre Change,2022-10-24,18450,FastFix
C11952,Full Service,2023-12-12,6300,CarZ
C11953,Brake Service,2022-01-02,9683,FastFix
C11954,Oil Change,2022-06-09,3059,Speed Garage
C11955,Engine Repair,2022-10-16,4799,AutoCare
C11956,Battery Replacement,2020-10-31,10011,Speed Garage
C11957,Oil Change,2022-06-06,7734,Mechanix
C11958,Full Service,2022-11-10,13027,CarZ
C11959,Tyre Change,2022-04-19,16825,Mechanix
C11960,Brake Service,2021-05-29,8342,AutoCare
C11961,Engine Repair,2020-05-19,2354,FastFix
C11962,Brake Service,2022-11-27,4827,Mechanix
C11963,Battery Replacement,2020-09-18,16087,Mechanix
C11964,Brake Service,2020-10-26,9841,Speed Garage
C11965,Engine Repair,2020-04-06,18739,AutoCare
C11966,Engine Repair,2022-11-11,10489,Mechanix
C11967,Battery Replacement,2020-02-19,15462,Mechanix
C11968,Oil Change,2020-05-12,6753,Mechanix
C11969,Brake Service,2023-11-07,11807,AutoCare
C11970,Full Service,2023-09-07,16106,Pitstop
C11971,Brake Service,2020-07-24,12299,CarZ
C11972,Brake Service,2020-08-08,16404,Speed Garage
C11973,Battery Replacement,2023-06-17,11479,AutoCare
C11974,Oil Change,2023-04-25,3591,CarZ
C11975,Tyre Change,2022-04-23,17343,AutoCare
C11976,Battery Replacement,2022-09-07,16131,Mechanix
C11977,Engine Repair,2023-10-15,16490,FastFix
C11978,Engine Repair,2020-09-01,12599,AutoCare
C11979,Tyre Change,2023-11-07,13717,Speed Garage
C11980,Oil Change,2020-02-07,14099,CarZ
C11981,Engine Repair,2020-06-27,17008,Mechanix
C11982,Engine Repair,2022-06-19,6655,FastFix
C11983,Oil Change,2021-05-16,4481,FastFix
C11984,Oil Change,2023-09-07,15338,Speed Garage
C11985,Tyre Change,2020-03-24,7700,Speed Garage
C11986,Engine Repair,2020-11-15,16693,FastFix
C11987,Battery Replacement,2023-11-23,6782,CarZ
C11988,Tyre Change,2020-10-20,15647,CarZ
C11989,Oil Change,2023-06-16,9526,Mechanix
C11990,Full Service,2021-11-12,3583,CarZ
C11991,Battery Replacement,2023-05-15,10629,Speed Garage
C11992,Tyre Change,2020-04-11,18767,CarZ
C11993,Oil Change,2020-06-12,7243,CarZ
C11994,Full Service,2021-01-29,6088,CarZ
C11995,Full Service,2021-05-20,19874,AutoCare
C11996,Full Service,2021-06-23,5300,Speed Garage
C11997,Brake Service,2022-08-19,5135,Mechanix
C11998,Tyre Change,2020-02-20,3495,Pitstop
C11999,Oil Change,2021-04-21,16566,CarZ
C12000,Tyre Change,2021-09-10,16491,CarZ
C12001,Oil Change,2020-09-21,11168,FastFix
C12002,Battery Replacement,2021-02-14,10264,Mechanix
C12003,Brake Service,2023-04-28,7461,Pitstop
C12004,Battery Replacement,2021-07-04,16444,Pitstop
C12005,Brake Service,2020-09-15,12317,Mechanix
C12006,Oil Change,2023-11-16,14421,Speed Garage
C12007,Engine Repair,2021-12-19,4767,FastFix
C12008,Brake Service,2022-11-14,11284,CarZ
C12009,Full Service,2022-11-22,5015,Mechanix
C12010,Oil Change,2023-10-11,17647,Mechanix
C12011,Oil Change,2023-11-09,17124,FastFix
C12012,Tyre Change,2021-01-30,19941,AutoCare
C12013,Engine Repair,2020-01-05,16518,Pitstop
C12014,Engine Repair,2021-02-11,4441,CarZ
C12015,Tyre Change,2021-05-24,7156,AutoCare
C12016,Full Service,2022-11-19,16201,Speed Garage
C12017,Battery Replacement,2020-06-04,18024,FastFix
C12018,Oil Change,2023-10-06,10420,Pitstop
C12019,Oil Change,2020-12-17,4968,AutoCare
C12020,Oil Change,2021-08-19,7825,Pitstop
C12021,Full Service,2021-01-02,13711,Mechanix
C12022,Oil Change,2021-12-01,7927,CarZ
C12023,Engine Repair,2022-02-18,16515,Pitstop
C12024,Tyre Change,2022-10-04,12890,Mechanix
C12025,Battery Replacement,2022-06-04,19059,Speed Garage
C12026,Oil Change,2020-07-17,16999,FastFix
C12027,Battery Replacement,2022-04-16,2455,Mechanix
C12028,Full Service,2020-12-17,14509,CarZ
C12029,Full Service,2020-01-19,6203,Pitstop
C12030,Battery Replacement,2022-12-19,17686,Pitstop
C12031,Tyre Change,2023-04-26,9681,AutoCare
C12032,Brake Service,2021-12-03,16197,AutoCare
C12033,Engine Repair,2023-08-30,19133,CarZ
C12034,Battery Replacement,2021-09-11,6768,Mechanix
C12035,Tyre Change,2022-08-27,18208,FastFix
C12036,Brake Service,2022-02-05,13676,CarZ
C12037,Battery Replacement,2022-12-28,19917,AutoCare
C12038,Oil Change,2020-04-25,13114,FastFix
C12039,Engine Repair,2023-11-07,5195,Pitstop
C12040,Oil Change,2021-11-22,16906,AutoCare
C12041,Oil Change,2023-01-16,6750,Speed Garage
C12042,Brake Service,2022-06-01,18507,AutoCare
C12043,Full Service,2021-09-08,8424,AutoCare
C12044,Engine Repair,2023-05-11,17760,AutoCare
C12045,Oil Change,2022-09-09,8251,AutoCare
C12046,Tyre Change,2021-01-29,15518,Mechanix
C12047,Engine Repair,2023-09-14,15635,Mechanix
C12048,Tyre Change,2023-01-05,4150,FastFix
C12049,Full Service,2020-01-28,16901,CarZ
C12050,Battery Replacement,2022-12-30,8011,Speed Garage
C12051,Battery Replacement,2022-10-15,6920,Mechanix
C12052,Oil Change,2020-02-27,13032,Mechanix
C12053,Full Service,2023-02-07,2330,Pitstop
C12054,Engine Repair,2022-07-22,18963,Speed Garage
C12055,Battery Replacement,2021-10-04,13615,CarZ
C12056,Engine Repair,2023-11-26,4656,CarZ
C12057,Full Service,2021-08-05,15203,Mechanix
C12058,Tyre Change,2021-04-17,13534,FastFix
C12059,Brake Service,2023-11-19,14616,CarZ
C12060,Battery Replacement,2022-03-16,12966,FastFix
C12061,Battery Replacement,2023-11-19,19256,FastFix
C12062,Tyre Change,2023-02-18,19074,FastFix
C12063,Oil Change,2020-06-22,10384,Pitstop
C12064,Full Service,2021-09-29,7634,Mechanix
C12065,Brake Service,2021-11-02,2616,Speed Garage
C12066,Brake Service,2022-12-28,9129,Speed Garage
C12067,Brake Service,2022-07-25,6139,Mechanix
C12068,Brake Service,2020-03-18,19810,Speed Garage
C12069,Battery Replacement,2020-01-16,7862,Mechanix
C12070,Brake Service,2023-01-18,9537,Mechanix
C12071,Engine Repair,2023-06-08,19135,FastFix
C12072,Tyre Change,2022-01-27,13317,FastFix
C12073,Brake Service,2020-02-02,10372,Speed Garage
C12074,Engine Repair,2020-08-29,6881,Pitstop
C12075,Tyre Change,2022-06-25,15070,Pitstop
C12076,Full Service,2020-11-29,10859,Speed Garage
C12077,Oil Change,2020-01-12,13783,AutoCare
C12078,Tyre Change,2022-05-29,11021,AutoCare
C12079,Engine Repair,2022-03-11,14545,Pitstop
C12080,Full Service,2020-09-25,18423,Speed Garage
C12081,Battery Replacement,2022-05-15,5347,CarZ
C12082,Engine Repair,2020-12-06,11125,CarZ
C12083,Tyre Change,2020-09-22,10579,FastFix
C12084,Tyre Change,2020-04-14,3282,CarZ
C12085,Full Service,2020-05-18,17909,Speed Garage
C12086,Tyre Change,2021-02-21,11174,AutoCare
C12087,Brake Service,2022-08-14,5498,CarZ
C12088,Full Service,2022-04-13,18370,Pitstop
C12089,Full Service,2020-07-17,9518,AutoCare
C12090,Oil Change,2023-01-04,16110,AutoCare
C12091,Tyre Change,2021-01-22,11088,Pitstop
C12092,Oil Change,2021-05-25,14293,Pitstop
C12093,Oil Change,2022-05-03,3010,CarZ
C12094,Engine Repair,2021-06-24,16101,Mechanix
C12095,Tyre Change,2020-03-12,17180,Mechanix
C12096,Engine Repair,2023-02-23,17056,Speed Garage
C12097,Full Service,2023-04-06,17190,CarZ
C12098,Engine Repair,2023-07-23,11035,AutoCare
C12099,Brake Service,2020-12-06,11994,Speed Garage
C12100,Brake Service,2021-05-21,13186,Pitstop
C12101,Tyre Change,2022-10-01,8894,Mechanix
C12102,Full Service,2022-09-14,19464,Speed Garage
C12103,Tyre Change,2021-09-24,17438,Pitstop
C12104,Oil Change,2021-05-20,5141,AutoCare
C12105,Battery Replacement,2021-03-21,3716,CarZ
C12106,Tyre Change,2021-07-19,18992,Pitstop
C12107,Engine Repair,2021-11-12,9393,CarZ
C12108,Tyre Change,2021-01-28,9058,Mechanix
C12109,Brake Service,2020-11-13,3780,CarZ
C12110,Tyre Change,2022-05-26,19031,Mechanix
C12111,Engine Repair,2020-06-10,16506,Speed Garage
C12112,Brake Service,2021-09-07,4672,CarZ
C12113,Tyre Change,2023-03-28,19880,CarZ
C12114,Tyre Change,2022-08-01,17273,AutoCare
C12115,Full Service,2023-07-13,17422,FastFix
C12116,Brake Service,2020-04-29,6733,FastFix
C12117,Full Service,2023-11-04,6255,FastFix
C12118,Tyre Change,2020-02-18,9019,Mechanix
C12119,Oil Change,2022-11-23,10764,Pitstop
C12120,Brake Service,2023-10-01,8796,Mechanix
C12121,Battery Replacement,2022-12-25,6090,Pitstop
C12122,Tyre Change,2021-09-15,10003,FastFix
C12123,Tyre Change,2023-04-12,9319,FastFix
C12124,Battery Replacement,2023-11-12,5409,Pitstop
C12125,Brake Service,2022-08-09,18442,CarZ
C12126,Full Service,2022-04-14,11659,FastFix
C12127,Battery Replacement,2021-03-04,2203,Mechanix
C12128,Oil Change,2020-09-03,8588,FastFix
C12129,Battery Replacement,2021-10-25,15738,Speed Garage
C12130,Oil Change,2022-09-08,13369,AutoCare
C12131,Full Service,2023-05-01,8372,FastFix
C12132,Tyre Change,2020-06-17,17245,Pitstop
C12133,Oil Change,2021-06-04,3832,FastFix
C12134,Brake Service,2021-10-15,14239,Pitstop
C12135,Oil Change,2020-03-14,8164,CarZ
C12136,Brake Service,2021-05-04,16312,AutoCare
